Country_Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000592992,0.000444846,0.000465041,0.000490953,0.000580201,0.001017954,0.001193147,0.001382587,0.001558752,0.000865742,0.001292347,0.001803587,0.001326725,0,0,0,0,0,0,0,0,0,
Africa Eastern and Southern,AFE,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,,0.402686191,0.408899056,0.401802101,0.60060897,1.189165381,1.370941159,1.416558037,1.27194478,1.228312517,1.2114922,1.750054263,2.116529725,1.451479046,1.456256078,2.551042663,1.561793164,1.433948051,1.472694723,1.962553596,2.157354969,1.431991728,1.872484954,1.693923744,1.49783883,1.772396945,1.835196689,1.71259561,1.045455198,1.335234115,2.753461872,2.676896999,2.646938571,2.099988203,3.353702547,4.446582547,5.143620139,5.949324308,9.234682315,3.845865335,5.061281021,6.45155509,4.984419476,4.391814324,3.369160602,1.486677524,1.400855758,2.051560373,2.699785654,2.147459313,1.206749169,2.054587143,
Afghanistan,AFG,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,0.22444266,0.307023589,0.39745448,0.491021942,0.709871112,1.054014139,1.206013388,1.251009798,0.883294897,1.133002661,1.029389812,0.792651478,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040501126,0.066665637,0.142404673,0.16961202,0.121906984,0.096664145,0.055986783,0.076364084,0.121057624,0.1634383,0.100777602,0.005710193,0.01820288,
Africa Western and Central,AFW,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,,0.041948255,0.143227713,0.281005097,4.619965985,3.804237031,3.532596891,3.634632634,2.807209754,6.534573369,4.629546952,3.144857375,1.388230953,3.266587838,4.20654887,4.95581368,1.259969195,2.348432011,1.893701891,4.100884022,5.375461083,2.996707089,3.440080593,3.380308636,3.331050299,3.336990782,3.587563505,3.948704964,1.836039066,2.775385314,6.750900003,3.541208112,3.22166488,2.471343318,4.10561578,9.085027407,9.280358341,8.437134221,8.47324382,4.6133041,6.804898466,8.698004079,7.481673195,5.360032925,3.930734276,1.651267942,1.403602727,2.661179129,3.791902215,3.386249845,1.690234188,2.825441895,
Angola,AGO,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,10.60287661,5.285341132,14.08446346,15.33950402,17.93041651,26.79158367,14.79528775,57.68781122,51.65524205,71.88874401,37.5058802,39.03987642,32.78628109,19.76426603,36.02024864,48.32379104,34.14105595,22.32032811,18.76581558,23.98809454,33.56291691,33.35753273,39.40983355,48.68183528,25.70459231,32.68797702,32.41146905,29.06237356,24.36883471,18.22661011,10.39627584,16.05341206,20.8526427,25.99553718,23.43624911,15.59116712,22.53066561,
Albania,ALB,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,4.41008728,3.955799808,1.65461619,2.267413531,1.76692287,2.343328359,3.304258616,2.310028556,2.458599291,1.334505781,0.79184909,0.553751418,0.531068005,0.444949585,0.077527097,0.150032709,0.34436596,0.22546475,0.231155433,0.251547754,0.307386975,0.388433216,0.427392247,0.496784275,0.668516925,0.392981353,0.636859917,1.332386412,1.699216137,2.008706714,2.208132121,1.009346141,0.57088031,0.708999047,0.904367761,0.918745099,0.348288636,0.597381359,
Andorra,AND,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,5.805096807,5.530331879,7.609650525,10.44434006,22.93142257,15.78878365,17.58992043,17.37320748,15.0706773,32.16265357,26.68750479,19.52954087,10.87571941,9.418656958,9.289026851,8.033740197,5.156577549,6.552236201,5.369736079,7.32384966,7.463663186,7.425064301,7.913090205,7.85241876,7.974152459,7.580210961,8.879275181,7.502617658,5.245540462,6.815526175,9.365504764,7.514996024,7.310372917,8.561899497,9.999287812,12.00320128,12.07185567,10.95115168,12.5306079,7.761190816,9.081463811,12.44991387,11.99691654,10.97437251,9.853094336,5.945508354,5.075853052,6.032333585,8.04300698,7.081533636,4.439487591,,
United Arab Emirates,ARE,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.813766921,3.495150329,3.286223613,4.553624277,5.516050309,5.938608332,6.983918201,6.211872845,7.132857098,4.735851008,6.030222316,7.915401431,7.719951605,7.787974123,6.80411323,4.139806174,3.628066896,4.300624173,5.47300509,5.158327149,3.413381665,,
Argentina,ARG,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,0.143853941,0.238143021,0.281703247,0.314061334,1.259644207,1.589230957,1.79194791,1.491728484,1.710858818,3.992199214,4.709194596,4.044715534,2.351798041,2.52170667,3.20224632,2.628484104,0.879371072,1.322077895,0.935093731,2.545644678,2.048300928,0.845188651,0.832725151,0.832650579,0.81588524,1.023809233,1.291906671,1.1773316,0.645917642,1.126364047,1.961643972,1.591438012,4.588492596,3.695340782,3.774565775,4.737333859,4.433045742,3.680128294,3.900258522,2.327100488,2.24204935,2.780350785,2.648331374,2.386305624,2.211039164,0.789979132,0.568187363,0.676135028,1.437301154,1.536560889,0.805650722,1.594716332,
